observation_date,CORESTICKM159SFRBATL
2000-04-01,2.409239000
2000-05-01,2.558647000
2000-06-01,2.701492000
2000-07-01,2.712970000
2000-08-01,2.874818000
2000-09-01,2.897082000
2000-10-01,2.919941000
2000-11-01,2.870145000
2000-12-01,2.972089000
2001-01-01,2.878468000
2001-02-01,2.979742000
2001-03-01,2.961886000
2001-04-01,3.091112000
2001-05-01,3.074010000
2001-06-01,3.200619000
2001-07-01,3.207811000
2001-08-01,3.251713000
2001-09-01,3.388746000
2001-10-01,3.484066000
2001-11-01,3.601999000
2001-12-01,3.564920000
2002-01-01,3.557463000
2002-02-01,3.527436000
2002-03-01,3.468480000
2002-04-01,3.465822000
2002-05-01,3.452132000
2002-06-01,3.241692000
2002-07-01,3.263706000
2002-08-01,3.146595000
2002-09-01,3.026606000
2002-10-01,2.937194000
2002-11-01,2.824322000
2002-12-01,2.792164000
2003-01-01,2.778159000
2003-02-01,2.695620000
2003-03-01,2.619135000
2003-04-01,2.450573000
2003-05-01,2.338588000
2003-06-01,2.261697000
2003-07-01,2.228217000
2003-08-01,2.155287000
2003-09-01,2.174311000
2003-10-01,2.150681000
2003-11-01,2.025956000
2003-12-01,1.967767000
2004-01-01,1.949813000
2004-02-01,2.037157000
2004-03-01,2.126567000
2004-04-01,2.247883000
2004-05-01,2.228612000
2004-06-01,2.370793000
2004-07-01,2.254997000
2004-08-01,2.249671000
2004-09-01,2.231920000
2004-10-01,2.229333000
2004-11-01,2.293798000
2004-12-01,2.304188000
2005-01-01,2.308836000
2005-02-01,2.279146000
2005-03-01,2.238654000
2005-04-01,2.231837000
2005-05-01,2.350311000
2005-06-01,2.191008000
2005-07-01,2.292571000
2005-08-01,2.256804000
2005-09-01,2.326514000
2005-10-01,2.318218000
2005-11-01,2.424911000
2005-12-01,2.463042000
2006-01-01,2.444816000
2006-02-01,2.492938000
2006-03-01,2.575349000
2006-04-01,2.675290000
2006-05-01,2.778406000
2006-06-01,3.029285000
2006-07-01,3.089187000
2006-08-01,3.219901000
2006-09-01,3.207054000
2006-10-01,3.285968000
2006-11-01,3.141252000
